width;slope;guild;tidal;basin
[4.5,5[;[0,0];stilstaand;FALSE;NA
[4.5,5[;[0.25,0.33[;brasem;FALSE;NA
[4.5,5[;[0.33,0.45[;brasem;FALSE;NA
[4.5,5[;[0.45,0.50[;brasem;FALSE;NA
[4.5,5[;[0.50,0.60[;brasem;FALSE;NA
[4.5,5[;[0.60,0.70[;brasem;FALSE;NA
[4.5,5[;[0.70,1.00[;brasem;FALSE;NA
[4.5,5[;[1.00,1.25[;barbeel;FALSE;NA
[4.5,5[;[1.25,1.50[;barbeel;FALSE;NA
[4.5,5[;[1.50,1.75[;barbeel;FALSE;NA
[4.5,5[;[1.75,2.00[;barbeel;FALSE;NA
[4.5,5[;[2.00,2.30[;barbeel;FALSE;NA
[4.5,5[;[2.30,2.70[;barbeel;FALSE;NA
[4.5,5[;[2.70,3.00[;vlagzalm;FALSE;NA
[4.5,5[;[3.00,4.50[;vlagzalm;FALSE;NA
[4.5,5[;[4.50,5.00[;vlagzalm;FALSE;NA
[4.5,5[;[5.00,5.50[;vlagzalm;FALSE;NA
[4.5,5[;[5.50,5.70[;vlagzalm;FALSE;NA
[4.5,5[;[5.70,6.00[;vlagzalm;FALSE;NA
[4.5,5[;[6.00,6.50[;vlagzalm;FALSE;NA
[4.5,5[;[6.50,7.00[;vlagzalm;FALSE;NA
[4.5,5[;[7.00, [;forel;FALSE;NA
[4.5,5[;]0.00,0.25[;brasem;FALSE;NA
[0,1];]0.00,0.25[;brasem;FALSE;NA
[0,1];[0.25,0.33[;brasem;FALSE;NA
[0,1];[0.33,0.45[;brasem;FALSE;NA
[0,1];[0.45,0.50[;brasem;FALSE;NA
[0,1];[0.50,0.60[;brasem;FALSE;NA
[0,1];[0.60,0.70[;brasem;FALSE;NA
[0,1];[0.70,1.00[;brasem;FALSE;NA
[0,1];[1.00,1.25[;brasem;FALSE;NA
[0,1];[1.25,1.50[;barbeel;FALSE;NA
[0,1];[1.50,1.75[;barbeel;FALSE;NA
[0,1];[1.75,2.00[;barbeel;FALSE;NA
[0,1];[2.00,2.30[;barbeel;FALSE;NA
[0,1];[2.30,2.70[;barbeel;FALSE;NA
[0,1];[2.70,3.00[;barbeel;FALSE;NA
[0,1];[3.00,4.50[;upstream;FALSE;NA
[0,1];[4.50,5.00[;upstream;FALSE;NA
[0,1];[5.00,5.50[;upstream;FALSE;NA
[0,1];[5.50,5.70[;upstream;FALSE;NA
[0,1];[5.70,6.00[;upstream;FALSE;NA
[0,1];[6.00,6.50[;upstream;FALSE;NA
[0,1];[6.50,7.00[;upstream;FALSE;NA
[0,1];[7.00, [;upstream;FALSE;NA
]1,4.5[;[0,0];stilstaand;FALSE;NA
]1,4.5[;]0.00,0.25[;brasem;FALSE;NA
]1,4.5[;[0.25,0.33[;brasem;FALSE;NA
]1,4.5[;[0.33,0.45[;brasem;FALSE;NA
]1,4.5[;[0.45,0.50[;brasem;FALSE;NA
]1,4.5[;[0.50,0.60[;brasem;FALSE;NA
]1,4.5[;[0.60,0.70[;brasem;FALSE;NA
]1,4.5[;[0.70,1.00[;brasem;FALSE;NA
]1,4.5[;[1.00,1.25[;barbeel;FALSE;NA
]1,4.5[;[1.25,1.50[;barbeel;FALSE;NA
]1,4.5[;[1.50,1.75[;barbeel;FALSE;NA
]1,4.5[;[1.75,2.00[;barbeel;FALSE;NA
]1,4.5[;[2.00,2.30[;barbeel;FALSE;NA
]1,4.5[;[2.30,2.70[;barbeel;FALSE;NA
]1,4.5[;[2.70,3.00[;barbeel;FALSE;NA
]1,4.5[;[3.00,4.50[;upstream;FALSE;NA
]1,4.5[;[4.50,5.00[;upstream;FALSE;NA
]1,4.5[;[5.00,5.50[;upstream;FALSE;NA
]1,4.5[;[5.50,5.70[;upstream;FALSE;NA
]1,4.5[;[5.70,6.00[;upstream;FALSE;NA
]1,4.5[;[6.00,6.50[;upstream;FALSE;NA
]1,4.5[;[6.50,7.00[;upstream;FALSE;NA
]1,4.5[;[7.00, [;upstream;FALSE;NA
[5,10[;[0,0];stilstaand;FALSE;NA
[5,10[;]0.00,0.25[;brasem;FALSE;NA
[5,10[;[0.25,0.33[;brasem;FALSE;NA
[5,10[;[0.33,0.45[;brasem;FALSE;NA
[5,10[;[0.45,0.50[;brasem;FALSE;NA
[5,10[;[0.50,0.60[;brasem;FALSE;NA
[5,10[;[0.60,0.70[;brasem;FALSE;NA
[5,10[;[0.70,1.00[;barbeel;FALSE;NA
[5,10[;[1.00,1.25[;barbeel;FALSE;NA
[5,10[;[1.25,1.50[;barbeel;FALSE;NA
[5,10[;[1.50,1.75[;barbeel;FALSE;NA
[5,10[;[1.75,2.00[;barbeel;FALSE;NA
[5,10[;[2.00,2.30[;barbeel;FALSE;NA
[5,10[;[2.30,2.70[;barbeel;FALSE;NA
[5,10[;[2.70,3.00[;vlagzalm;FALSE;NA
[5,10[;[3.00,4.50[;vlagzalm;FALSE;NA
[5,10[;[4.50,5.00[;vlagzalm;FALSE;NA
[5,10[;[5.00,5.50[;vlagzalm;FALSE;NA
[5,10[;[5.50,5.70[;vlagzalm;FALSE;NA
[5,10[;[5.70,6.00[;vlagzalm;FALSE;NA
[5,10[;[6.00,6.50[;vlagzalm;FALSE;NA
[5,10[;[6.50,7.00[;vlagzalm;FALSE;NA
[5,10[;[7.00, [;forel;FALSE;NA
[10,15[;[0,0];stilstaand;FALSE;NA
[10,15[;]0.00,0.25[;brasem;FALSE;NA
[10,15[;[0.25,0.33[;brasem;FALSE;NA
[10,15[;[0.33,0.45[;brasem;FALSE;NA
[10,15[;[0.45,0.50[;brasem;FALSE;NA
[10,15[;[0.50,0.60[;brasem;FALSE;NA
[10,15[;[0.60,0.70[;brasem;FALSE;NA
[10,15[;[0.70,1.00[;barbeel;FALSE;NA
[10,15[;[1.00,1.25[;barbeel;FALSE;NA
[10,15[;[1.25,1.50[;barbeel;FALSE;NA
[10,15[;[1.50,1.75[;barbeel;FALSE;NA
[10,15[;[1.75,2.00[;barbeel;FALSE;NA
[10,15[;[2.00,2.30[;barbeel;FALSE;NA
[10,15[;[2.30,2.70[;vlagzalm;FALSE;NA
[10,15[;[2.70,3.00[;vlagzalm;FALSE;NA
[10,15[;[3.00,4.50[;vlagzalm;FALSE;NA
[10,15[;[4.50,5.00[;vlagzalm;FALSE;NA
[10,15[;[5.00,5.50[;vlagzalm;FALSE;NA
[10,15[;[5.50,5.70[;vlagzalm;FALSE;NA
[10,15[;[5.70,6.00[;vlagzalm;FALSE;NA
[10,15[;[6.00,6.50[;vlagzalm;FALSE;NA
[10,15[;[6.50,7.00[;forel;FALSE;NA
[10,15[;[7.00, [;forel;FALSE;NA
[15,20[;[0,0];stilstaand;FALSE;NA
[15,20[;]0.00,0.25[;brasem;FALSE;NA
[15,20[;[0.25,0.33[;brasem;FALSE;NA
[15,20[;[0.33,0.45[;brasem;FALSE;NA
[15,20[;[0.45,0.50[;brasem;FALSE;NA
[15,20[;[0.50,0.60[;brasem;FALSE;NA
[15,20[;[0.60,0.70[;barbeel;FALSE;NA
[15,20[;[0.70,1.00[;barbeel;FALSE;NA
[15,20[;[1.00,1.25[;barbeel;FALSE;NA
[15,20[;[1.25,1.50[;barbeel;FALSE;NA
[15,20[;[1.50,1.75[;barbeel;FALSE;NA
[15,20[;[1.75,2.00[;barbeel;FALSE;NA
[15,20[;[2.00,2.30[;vlagzalm;FALSE;NA
[15,20[;[2.30,2.70[;vlagzalm;FALSE;NA
[15,20[;[2.70,3.00[;vlagzalm;FALSE;NA
[15,20[;[3.00,4.50[;vlagzalm;FALSE;NA
[15,20[;[4.50,5.00[;vlagzalm;FALSE;NA
[15,20[;[5.00,5.50[;vlagzalm;FALSE;NA
[15,20[;[5.50,5.70[;vlagzalm;FALSE;NA
[15,20[;[5.70,6.00[;vlagzalm;FALSE;NA
[15,20[;[6.00,6.50[;forel;FALSE;NA
[15,20[;[6.50,7.00[;forel;FALSE;NA
[15,20[;[7.00, [;forel;FALSE;NA
[20,25[;[0,0];stilstaand;FALSE;NA
[20,25[;]0.00,0.25[;brasem;FALSE;NA
[20,25[;[0.25,0.33[;brasem;FALSE;NA
[20,25[;[0.33,0.45[;brasem;FALSE;NA
[20,25[;[0.45,0.50[;brasem;FALSE;NA
[20,25[;[0.50,0.60[;barbeel;FALSE;NA
[20,25[;[0.60,0.70[;barbeel;FALSE;NA
[20,25[;[0.70,1.00[;barbeel;FALSE;NA
[20,25[;[1.00,1.25[;barbeel;FALSE;NA
[20,25[;[1.25,1.50[;barbeel;FALSE;NA
[20,25[;[1.50,1.75[;barbeel;FALSE;NA
[20,25[;[1.75,2.00[;barbeel;FALSE;NA
[20,25[;[2.00,2.30[;vlagzalm;FALSE;NA
[20,25[;[2.30,2.70[;vlagzalm;FALSE;NA
[20,25[;[2.70,3.00[;vlagzalm;FALSE;NA
[20,25[;[3.00,4.50[;vlagzalm;FALSE;NA
[20,25[;[4.50,5.00[;vlagzalm;FALSE;NA
[20,25[;[5.00,5.50[;vlagzalm;FALSE;NA
[20,25[;[5.50,5.70[;vlagzalm;FALSE;NA
[20,25[;[5.70,6.00[;forel;FALSE;NA
[20,25[;[6.00,6.50[;forel;FALSE;NA
[20,25[;[6.50,7.00[;forel;FALSE;NA
